title,home,keywords,publisher,country,classification,subjects
Cell Reports Physical Science,https://www.cell.com/cell-reports-physical-science,"physical sciences, material sciences, chemistry, physics",Elsevier,United States,QC1-999,Science: Physics
Cell Reports: Methods,https://www.cell.com/cell-reports-methods,"next-generation sequencing, genome engineering, imaging technology, biotechnology, cellular biology, synthetic biology",Elsevier,United States,TP248.13-248.65|QD415-436|Q,Technology: Chemical technology: Biotechnology | Science: Chemistry: Organic chemistry: Biochemistry
Cell Stress,http://www.cell-stress.com/,"cellular pathology, human disease, cellular stress, pathophysiology",Shared Science Publishers OG,Austria,R|QH301-705.5,Medicine | Science: Biology (General)
Cell Structure and Function,https://www.jstage.jst.go.jp/browse/csf,"cell biology, gene expression, cytoskeleton, signal transduction, membranes, organelles",Japan Society of Cell Biology,Japan,Q|QH301-705.5,Science: Biology (General)
Cell Transplantation,http://journals.sagepub.com/home/cll,"cell transplantation, tissue engineering",SAGE Publishing,United States,R,Medicine
CellR4,https://www.cellr4.org/,"stem cell therapy, diabetes, cell differentiation, cell transplantation, translational research, regenerative medicine",Verduci Editore,Italy,Q,Science
Cells,http://www.mdpi.com/journal/cells,"cell structure, cell physiology, cell growth and differentiation, genetic disorders and therapy, cellular immunology, cell movement and motility",MDPI AG,Switzerland,QH301-705.5,Science: Biology (General)
Cellular & Molecular Biology Letters,https://cmbl.biomedcentral.com/,"cancer cell biology, cell differentiation, cell cycle, stem cells, cellular membranes, molecular biotechnology",BMC,United Kingdom,QH573-671,Science: Biology (General): Cytology
Cellular and Molecular Gastroenterology and Hepatology,https://www.journals.elsevier.com/cellular-and-molecular-gastroenterology-and-hepatology/,"gastroenterology, clinical gastroenterology and hepatology, cell biology, immunology, physiology, microbiology",Elsevier,Netherlands,RC799-869,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology
Cellular Microbiology,https://www.hindawi.com/journals/cmi/,"molecular biology, microbial genetics, microbiology, microorganisms",Hindawi-Wiley,United Kingdom,QR1-502,Science: Microbiology
Cellular Oncology,https://www.hindawi.com/journals/acp/,"cytopathology, pathology, cytology",Hindawi Limited,United Kingdom,RC254-282|QH573-671,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens | Science: Biology (General): Cytology
Cellular Physiology and Biochemistry,https://www.cellphysiolbiochem.com,"cancer, molecular biology, pathophysiology, cellular metabolism, cell growth, cell biology",Cell Physiol Biochem Press GmbH & Co KG,Germany,QP1-981|QD415-436,Science: Physiology | Science: Chemistry: Organic chemistry: Biochemistry
"Celt: A Journal of Culture, English Language Teaching & Literature",http://journal.unika.ac.id/index.php/celt,"culture, english, teaching, linguistics, literature, language",Soegijapranata Catholic University,Indonesia,L7-991|P,Education: Education (General) | Language and Literature
Celtic,https://ejournal.umm.ac.id/index.php/celtic,"culture, english language teaching, literature, linguistics",University of Muhammadiyah Malang,Indonesia,PE1-3729,Language and Literature: English language
Cement,https://www.journals.elsevier.com/cement,"cement, concrete, cementitious materials, sustainability",Elsevier,Netherlands,TP875-888,Technology: Chemical technology: Cement industries
Center for Educational Policy Studies Journal,http://www.cepsj.si,"teacher education, educational sciences, preschool education",University of Ljubljana,Slovenia,L7-991,Education: Education (General)
Central and Eastern European Migration Review,http://www.ceemr.uw.edu.pl/,"central and eastern europe, migration","Centre of Migration Research, University of Warsaw, and Polish Academy of Sciences",Poland,JV1-9480|HT201-221,"Political science: Colonies and colonization. Emigration and immigration. International migration | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: City population. Including children in cities, immigration"
Central Asian Journal of Global Health,http://cajgh.pitt.edu,"public health, medicine, global health, central asia","University Library System, University of Pittsburgh",United States,RA1-1270,Medicine: Public aspects of medicine
Central Asian Journal of Medical Hypotheses and Ethics,https://cajmhe.com/index.php/journal,"ethics, health sciences, research, public health, medicine, clinical medicine",South Kazakhstan Medical Academy,Kazakhstan,R723-726,Medicine: Medicine (General): Medical philosophy. Medical ethics
Central Asian Journal of Medical Science,http://www.cajms.mn/,"medicine, dentistry, public health, nursing, pharmacy, traditional medicine",Mongolian National University of Medical Sciences,Mongolia,R|R5-920,Medicine: Medicine (General)
Central Bank Review,https://www.journals.elsevier.com/central-bank-review/,"macroeconomic stability, financial stability, liquidity management, payment clearings and settlement systems",Elsevier,Netherlands,HG1-9999|HG1501-3550|HB71-74,Social Sciences: Finance: Banking | Social Sciences: Economic theory. Demography: Economics as a science
Central European Journal of Educational Research,https://ojs.lib.unideb.hu/CEJER,"education, teaching, learning, educational research",Debrecen University Press,Hungary,L,Education
Central European Journal of Geography and Sustainable Development,https://cejgsd.org/,"geography, physical geography, geomorphology, climate change, urban planning, sustainable development",Romanian Geographical Society - Prahova Branch,Romania,G1-922|GB3-5030|GF125,Geography. Anthropology. Recreation: Geography (General) | Geography. Anthropology. Recreation: Physical geography | Geography. Anthropology. Recreation: Human ecology. Anthropogeography: Settlements: Cities. Urban geography
Central European Journal of Immunology,http://www.termedia.pl/Journal/Central_European_Journal_of_nbsp_Immunology-10,immunology,Termedia Publishing House,Poland,R,Medicine
Central European Journal of International & Security Studies,https://cejiss.org/,"politics, security, central europe, international relations, political science",Metropolitan University Prague,Czechia,JZ2-6530|JA1-92,Political science: International relations | Political science: Political science (General)
Central European Journal of Nursing and Midwifery,http://periodicals.osu.eu/cejnm/,"nursing, midwifery",University of Ostrava,Czechia,RT1-120|RG1-991,Medicine: Nursing | Medicine: Gynecology and obstetrics
Central European Journal of Public Policy,https://sciendo.com/journal/CEJPP,"public policy, policy analysis, policy research",Sciendo,Poland,J,Political science
Central European Journal of Sport Sciences and Medicine,https://wnus.edu.pl/cejssm/en/,"sport, medicine, physiology, physical exercise, human biology, health",Wydawnictwo Naukowe Uniwersytetu Szczecińskiego,Poland,GV557-1198.995|RC1200-1245|QP1-981,Geography. Anthropology. Recreation: Recreation. Leisure: Sports | Medicine: Internal medicine: Special situations and conditions: Sports medicine | Science: Physiology
Central European Management Journal,https://sciendo.com/journal/JMBACE,"management, business, economics, research, organization, central europe",Sciendo,Poland,T58.6-58.62|HF5001-6182,Technology: Technology (General): Industrial engineering. Management engineering: Management information systems | Social Sciences: Commerce: Business
Cephalalgia Reports,https://journals.sagepub.com/home/rep,"headache, facial pain, neck pain",SAGE Publishing,United Kingdom,RM1-950|RC321-571,Medicine: Therapeutics. Pharmacology | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry
Cerae: An Australasian Journal of Medieval and Early Modern Studies,https://ceraejournal.com,"mediaeval history, early modern history, mediaevalism",Cerae: An Australasian Journal of Medieval and Early Modern Studies,Australia,D204-475|D111-203,"History (General) and history of Europe: History (General): Modern history, 1453- | History (General) and history of Europe: History (General): Medieval history"
Ceramics,https://www.mdpi.com/journal/ceramics,"noncrystalline ceramics and crystalline ceramics, bioceramics and ceramic application in biology, simulation, design, modeling, ceramic processing approaches and manufacturing",MDPI AG,Switzerland,T|TP1-1185,Technology: Chemical technology
Ceramics-Silikáty,http://www.ceramics-silikaty.cz/,"ceramics, glass, cements, inorganic binding materials, biomaterials","University of Chemistry and Technology, Prague",Czechia,TP785-869,Technology: Chemical technology: Clay industries. Ceramics. Glass
"Cerebral Circulation, Cognition and Behavior",https://www.journals.elsevier.com/cerebral-circulation-cognition-and-behavior,"alzheimer's disease, cognitive impairment, biomarkers, vascular cognitive disorders, vascular dementia",Elsevier,Netherlands,RC581-951|RC321-571,Medicine: Internal medicine: Specialties of internal medicine | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry
Cerebral Cortex Communications,https://academic.oup.com/cercorcomms,"neuroscience, neurobiology, neuroimaging, neurophysiology, hippocampus, cerebral cortex",Oxford University Press,United Kingdom,RC321-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry
Cerebrospinal Fluid Research,https://fluidsbarrierscns.biomedcentral.com/,"csf, chemical signaling, physical buffering, chemical buffering, neurodevelopment, neurodevelopmental disorders",BMC,United Kingdom,RC346-429,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
Cerebrovascular Diseases Extra,http://www.karger.com/cee,"neurosurgery, cardiology, neurology, stroke, haematology, intensive care medicine",Karger Publishers,Switzerland,RC666-701,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system
CERN IdeaSquare Journal of Experimental Innovation,https://publishing.cern.ch/index.php/CIJ,"strategic technology, innovation management, innovation policies issues",CERN,Switzerland,T1-995|HD45-45.2,Technology: Technology (General) | Social Sciences: Industries. Land use. Labor: Management. Industrial management: Technological innovations. Automation
Ceylon Journal of Science,https://cjs.sljol.info/,"plant taxonomy, tropical crops, tropical forestry, food technology, sustainable development, water resources","Faculty of Science, University of Peradeniya, Sri Lanka",Sri Lanka,Q,Science
Challenges,http://www.mdpi.com/journal/challenges/,"research collaboration, prototypes, grand challenges, open consultation, competitive solving, intellectual resources",MDPI AG,Switzerland,T|Q1-390,Technology | Science: Science (General)
Challenges in Sustainability,http://www.librelloph.com/challengesinsustainability,"environmental science, climate change and crisis, sustainable cities, sustainable development, carbon accounting, earth system",Librelloph,Switzerland,GE1-350,Geography. Anthropology. Recreation: Environmental sciences
Challenges of the Knowledge Society,http://cks.univnt.ro,"law, economics, administrative studies, international relations, it in social sciences, political studies",Nicolae Titulescu University Publishing House,Romania,H1-99,Social Sciences: Social sciences (General)
Challenging Glass Conference Proceedings,https://proceedings.challengingglass.com/,"glass, architectural design, glass components, case studies, structural safety, conference",Challenging Glass Conference,Germany,TP785-869,Technology: Chemical technology: Clay industries. Ceramics. Glass
Change and Adaptation in Socio-Ecological Systems,http://www.degruyter.com/view/j/cass,"socio-ecological systems (ses), ecosystems services, global change, water management, urban system regional economy",De Gruyter,Poland,QH540-549.5,Science: Biology (General): Ecology
Changing Societies & Personalities,https://changing-sp.com/ojs/index.php/csp/index,"political philosophy, religious studies, cultural studies, social studies",Ural Federal University,Russian Federation,H1-99,Social Sciences: Social sciences (General)
Channels,http://www.tandfonline.com/KCHL,"biophysics, phamacology, ion channels, ion transporters, ion exchangers, ion channel physiology",Taylor & Francis Group,United Kingdom,RM1-950|QP1-981,Medicine: Therapeutics. Pharmacology | Science: Physiology
"Chaos, Solitons & Fractals: X",https://www.journals.elsevier.com/chaos-solitons-and-fractals-x/,"non-linear science, complex phenomena, non-equilibrium processes, complex matter, random processes",Elsevier,United Kingdom,QC1-999|QA1-939,Science: Physics | Science: Mathematics
Check List,https://checklist.pensoft.net/,taxonomy,Pensoft Publishers,Bulgaria,QH301-705.5,Science: Biology (General)
ChemEngineering,http://www.mdpi.com/journal/ChemEngineering,"process engineering, artificial intelligence solutions, product engineering, materials engineering, molecular engineering, energy and environmental engineering",MDPI AG,Switzerland,QD1-999,Science: Chemistry
Chemical and Biochemical Engineering Quarterly,http://silverstripe.fkit.hr/cabeq/,"chemical engineering, biochemical engineering",Croatian Society of Chemical Engineers,Croatia,TP155-156,Technology: Chemical technology: Chemical engineering
Chemical and Biological Technologies in Agriculture,https://chembioagro.springeropen.com/,"agricultural chemistry, sustainable agriculture, food production",SpringerOpen,United Kingdom,S,Agriculture
Chemical Engineering Journal Advances,https://www.journals.elsevier.com/chemical-engineering-journal-advances,"environmental hazards, chemical reaction engineering, novel materials, nanotechnology applications, environmental engineering",Elsevier,Netherlands,TP155-156,Technology: Chemical technology: Chemical engineering
Chemical Engineering Transactions,https://www.cetjournal.it/index.php/cet,"chemical engineering, chemistry, computer engineering",AIDIC Servizi S.r.l.,Italy,TP155-156|TK7885-7895,Technology: Chemical technology: Chemical engineering | Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware
Chemical Industry and Chemical Engineering Quarterly,http://www.ache.org.rs/CICEQ/,"chemical engineering, chemical technology",Association of the Chemical Engineers of Serbia,Serbia,TP155-156|HD9650-9663,Technology: Chemical technology: Chemical engineering | Social Sciences: Industries. Land use. Labor: Special industries and trades: Chemical industries
Chemical Physics Impact,https://www.journals.elsevier.com/chemical-physics-impact/,"chemical physics, nanomaterials, biosystems, energy production, environmental sciences, drug discovery",Elsevier,Netherlands,QC1-999|QD1-999,Science: Physics | Science: Chemistry
Chemical Review and Letters,http://www.chemrevlett.com/,"chemical, chemical control, organic chemistry, physical chemistry, inorganic chemistry",Iranian Chemical Science  and Technologies Association,"Iran, Islamic Republic of",QD1-999,Science: Chemistry
Chemical Science,https://www.rsc.org/chemicalscience,"chemistry, materials science, nanoscience",The Royal Society of Chemistry,United Kingdom,QD1-999,Science: Chemistry
Chemical Speciation & Bioavailability,https://www.tandfonline.com/toc/tcsb21/current,"speciation analysis, nutrients, pollutants, bioavailability, biological uptake, toxicity",Taylor & Francis Group,United Kingdom,TD172-193.5|GE1-350,Technology: Environmental technology. Sanitary engineering: Environmental pollution | Geography. Anthropology. Recreation: Environmental sciences
Chemical Thermodynamics and Thermal Analysis,https://www.journals.elsevier.com/chemical-thermodynamics-and-thermal-analysis,"phase equilibria, equations of state, calorimetry, thermodynamics, mixtures, kinetics",Elsevier,Netherlands,QC310.15-319,Science: Physics: Heat: Thermodynamics
Chemistry,https://www.mdpi.com/journal/chemistry,"supramolecular and nanoscale chemistry, computational and modeling chemistry, crystallography and physical methods, molecular chemistry, medicinal and bioinorganic chemistry, catalysis and organometallic chemistry",MDPI AG,Switzerland,QD1-999,Science: Chemistry
Chemistry Central Journal,https://bmcchem.biomedcentral.com/,"chemistry, chemical sciences",BMC,United Kingdom,QD1-999,Science: Chemistry
"Chemistry Journal of Moldova: General, Industrial and Ecological Chemistry",http://www.cjm.asm.md/,"chemistry, industrial chemistry, ecological chemistry, organic chemistry","Academy of Sciences of Moldova, Institute of Chemistry","Moldova, Republic of",QD1-999|QD1-65,Science: Chemistry: General. Including alchemy
Chemistry Teacher International,https://www.degruyter.com/journal/key/cti/html,"chemistry, education, teaching, chemistry education, chemistry teachers, good practices",De Gruyter,Germany,QD1-999,Science: Chemistry
ChemistryOpen,https://chemistry-europe.onlinelibrary.wiley.com/journal/21911363,"chemistry, applied chemistry, physical chemistry, organic chemistry, inorganic chemistry, medicinal chemistry",Wiley-VCH,Germany,QD1-999,Science: Chemistry
Chemosensors,http://www.mdpi.com/journal/chemosensors,"optical chemical sensors, mass-sensitive sensors, materials for chemical sensing, bioanalytical chemistry, drugs",MDPI AG,Switzerland,QD415-436,Science: Chemistry: Organic chemistry: Biochemistry
Child and Adolescent Obesity,https://www.tandfonline.com/toc/tcha20/current,"obesity, childhood obesity, body mass index, metabolism, adiposity, diet",Taylor & Francis Group,United Kingdom,RJ1-570|RA1-1270,Medicine: Pediatrics | Medicine: Public aspects of medicine
Child and Adolescent Psychiatry and Mental Health,https://capmh.biomedcentral.com/,"mental health conditions, childhood, adolescence, psychiatric disorders",BMC,United Kingdom,RJ1-570|RC435-571,Medicine: Pediatrics | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry
Child Health Nursing Research,https://www.e-chnr.org,"nursing, health, infant, children, adolescent, family",Korean Academy of Child Health Nursing,"Korea, Republic of",R,Medicine
Child Neurology Open,https://journals.sagepub.com/home/cno,"child neurology, neuropsychology, neuroscience, behavioural paediatrics, developmental paediatrics, paediatric neurology",SAGE Publishing,United States,RJ1-570|RC346-429,Medicine: Pediatrics | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
Childhood Kidney Diseases,https://www.chikd.org/index.php,"kidney, pediatrics, nephrology",Korean Society of Pediatric Nephrology,"Korea, Republic of",RC31-1245|RJ1-570,Medicine: Internal medicine | Medicine: Pediatrics
Children,http://www.mdpi.com/journal/children,"public health and epidemiology, global health, general pediatrics, pediatric subspecialties, pediatric hospitalist medicine, health service and health policy research",MDPI AG,Switzerland,RJ1-570,Medicine: Pediatrics
Chimica Techno Acta,https://journals.urfu.ru/index.php/chimtech,"pure chemistry, applied chemistry, chemical technology",Uralʹskij federalʹnyj universitet imeni pervogo Prezidenta Rossii B.N. Elʹcina,Russian Federation,QD1-999,Science: Chemistry
China Economic Quarterly International,http://www.keaipublishing.com/en/journals/china-economic-quarterly-international/,"chinese economy, institutional change, economic reform, labor share, business environment, air pollution",KeAi Communications Co. Ltd.,China,HB1-3840|HD72-88,"Social Sciences: Economic theory. Demography | Social Sciences: Industries. Land use. Labor: Economic growth, development, planning"
China Foundry,http://www.foundryworld.com/,"foundry, casting, metal, materials, alloys, moulding",Foundry Journal Agency,China,T|TS1-2301,Technology: Manufactures
China Geology,http://www.keaipublishing.com/en/journals/china-geology/,"geoscience, geo-engineering, original geological survey achievements, marine geology, global climate change, tethys","KeAi Communications Co., Ltd.",China,TA1-2040|QE1-996.5,Technology: Engineering (General). Civil engineering (General) | Science: Geology
China Journal of Accounting Research,http://www.journals.elsevier.com/china-journal-of-accounting-research/,"accounting, finance, auditing, corporate governance in china, china circle, emerging markets",Elsevier,Netherlands,HF5601-5689,Social Sciences: Commerce: Business: Accounting. Bookkeeping
China Journal of Accounting Studies,https://www.tandfonline.com/toc/rcja20/current,"financial accounting, management accounting, auditing, corporate governance, finance, financial management",Taylor & Francis Group,United Kingdom,HF5601-5689|HG1-9999,Social Sciences: Commerce: Business: Accounting. Bookkeeping | Social Sciences: Finance
China Political Economy,https://www.emeraldgrouppublishing.com/services/publishing/cpe/index.htm,"china's economic system reform, china's macro-economy, industrial organization, financial and capital market",Emerald Publishing,United Kingdom,H|HG1-9999,Social Sciences: Finance
China Quarterly of International Strategic Studies,https://www.worldscientific.com/cqiss,"china's international strategy, china's foreign policy, world economy, global governance, international security, regional politics",World Century Publishing Corporation,Singapore,JZ2-6530,Political science: International relations
Chinese Herbal Medicines,https://www.sciencedirect.com/journal/chinese-herbal-medicines,"herbal medicines, medicinal materials and resources, phytochemistry, pharmacology, toxicology, pharmacokinetics",Elsevier,Netherlands,RS1-441,Medicine: Pharmacy and materia medica
Chinese Journal of Cancer,https://cancercommun.biomedcentral.com/,cancer,BMC,United Kingdom,RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens
Chinese Journal of Electrical Engineering,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7873788,"electrical machines, power electronics and its applications, transportation and other applications, power electronics, power electronics on power system applications, transportation and other application",Editorial office of Chinese Journal of Electrical Engineering,China,TK1-9971,Technology: Electrical engineering. Electronics. Nuclear engineering
Chinese Journal of International Review,https://www.worldscientific.com/worldscinet/cjir,"china studies, public policies, international relations, political science",World Scientific Publishing Co. Pte Ltd.,Singapore,A|H,General Works | Social Sciences
Chinese Journal of Mechanical Engineering,https://cjme.springeropen.com/,"robotics, intelligent manufacturing technology, advanced transportation equipment, ocean engineering equipment, smart materials",SpringerOpen,United Kingdom,TC1501-1800|TJ1-1570,Technology: Ocean engineering | Technology: Mechanical engineering and machinery
Chinese Journal of Physiology,https://www.cjphysiology.org/,"physiology, pathophysiology",Wolters Kluwer Medknow Publications,India,QP1-981,Science: Physiology
Chinese Journal of Plastic and Reconstructive Surgery,https://www.keaipublishing.com/en/journals/chinese-journal-of-plastic-and-reconstructive-surgery/,"plastic surgery, reconstructive microsurgery, aesthetic surgery, minimally invasive surgery, tissue engineering, laser medicine",KeAi Communications Co. Ltd.,China,RD1-811,Medicine: Surgery
"Chinese Journal of Population, Resources and Environment",https://www.keaipublishing.com/en/journals/chinese-journal-of-population-resources-and-environment/,"sustainable development, environmental governance, environmental economy, green development, resource utilization, climate change strategies","KeAi Communications Co., Ltd.",China,GE1-350,Geography. Anthropology. Recreation: Environmental sciences
Chinese Journal of Traumatology,https://www.journals.elsevier.com/chinese-journal-of-traumatology/,trauma medicine,Elsevier,China,R5-920,Medicine: Medicine (General)
Chinese Medical Journal,https://journals.lww.com/cmj/pages/default.aspx,"medical sciences, health",Wolters Kluwer,United Kingdom,R,Medicine
Chinese Medicine,http://cmjournal.biomedcentral.com,"herbal medicine, chinese medicine",BMC,United Kingdom,RZ201-999,Medicine: Other systems of medicine
Chinese Medicine and Culture,https://journals.lww.com/cmc/Pages/default.aspx,"oriental medicine, chinese medicine, traditional medicine, traditional chinese medicine",Wolters Kluwer Health/LWW,United States,RZ201-999,Medicine: Other systems of medicine
Chinese Neurosurgical Journal,http://www.cnjournal.org/,"neurology, neuroscience, clinical, neurosurgery",BMC,United Kingdom,RD1-811|RC346-429,Medicine: Surgery | Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
Chiropractic & Manual Therapies,https://chiromt.biomedcentral.com,"spinal care, chiropractic, manipulation, physical therapy, musculoskeletal diseases",BMC,United Kingdom,RZ201-275|RC925-935,Medicine: Other systems of medicine: Chiropractic | Medicine: Internal medicine: Specialties of internal medicine: Diseases of the musculoskeletal system
CHRISMED Journal of Health and Research,http://www.cjhr.org,"medicine, health, nursing",Wolters Kluwer Medknow Publications,India,R|RT1-120,Medicine: Nursing
Christian Journal for Global Health,https://journal.cjgh.org/index.php/cjgh,"global health, international development, christian theology",Health for All Nations,United States,RA1-1270|BV4485-5099,Medicine: Public aspects of medicine | Philosophy. Psychology. Religion: Practical Theology: Practical religion. The Christian life
Chromatography,http://www.mdpi.com/journal/chromatography,"separation methodologies, novel hyphenated analytical solutions, chromatographic separations, chromatographic optimization",MDPI AG,Switzerland,QD1-999,Science: Chemistry
Chronic Diseases and Translational Medicine,https://onlinelibrary.wiley.com/journal/25890514,"chronic disease, translational medicine, cancer, cardiovascular disease, chronic respiratory disease, chronic kidney disease",Wiley,United Kingdom,R5-920,Medicine: Medicine (General)
Chronic Diseases Journal,http://cdjournal.muk.ac.ir/index.php/cdj/about,"chronic, diseases, patient education, subacute diseases, policy making",Vesnu Publications,"Iran, Islamic Republic of",R,Medicine
Chronic Respiratory Disease,https://journals.sagepub.com/home/crd,"respiratory failure, copd, bronchiectasis, obstructive sleep apnea, chronic respiratory disease",SAGE Publishing,United Kingdom,RC705-779,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the respiratory system
Chronic Stress,http://journals.sagepub.com/home/css,"stress-related psychiatric disorders, stress treatment, trauma, neurobiology, mental health",SAGE Publishing,United States,RC435-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry
Chronic Wound Care Management and Research,https://www.dovepress.com/chronic-wound-care-management-and-research-journal,"wound care, chronic wounds, wounds, wound management",Dove Medical Press,United Kingdom,RC86-88.9,Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid
Chronicles of Health Impact Assessment,https://journals.iupui.edu/index.php/chia/index,"health impact assessment, public health, health policy",Indiana University-Purdue University Indianapolis,United States,RA1-1270,Medicine: Public aspects of medicine
Chronika,http://www.chronikajournal.com,"mediterranean archaeology, european archaeology",Institute for European and Mediterranean Archaeology,United States,CC1-960,Auxiliary sciences of history: Archaeology
Ciencia Ergo Sum,http://ergosum.uaemex.mx/index.php/ergosum/index,"science, social sciences",Universidad Autonoma del Estado de Mexico,Mexico,Q|H,Social Sciences
Ciencia y Tecnología de Buques,https://www.shipjournal.co,"ship design, hydrodynamics, dynamics of ships, vibrations and noise, technology of ship construction, marine engineering","Corporación de Ciencia y Tecnología para el Desarrollo de la Industria Naval, Marítima y Fluvial - COTECMAR",Colombia,V,Naval Science
Cihan University-Erbil Scientific Journal,https://journals.cihanuniversity.edu.iq/index.php/cuesj,"science, engineering, technology",Cihan University-Erbil,Iraq,Q1-390,Science: Science (General)
CINEJ Cinema Journal,http://cinej.pitt.edu/,"cinema studies, film, media, television, communication",University of Pittsburgh,United States,N1-9211|P87-96,Fine Arts: Visual arts | Language and Literature: Philology. Linguistics: Communication. Mass media
Cities and the Environment,http://digitalcommons.lmu.edu/cate/,"ecological landscaping, urban ecology, urban ecology education",Loyola Marymount University,United States,GF125,Geography. Anthropology. Recreation: Human ecology. Anthropogeography: Settlements: Cities. Urban geography
Citizen Science: Theory and Practice,https://theoryandpractice.citizenscienceassociation.org/,"community science, community-based participatory research, crowdsourcing, public participation in research",Ubiquity Press,United Kingdom,Q,Science
City and Environment Interactions,https://www.journals.elsevier.com/city-and-environment-interactions,"climate, sustainability, resilience, environment, urban studies, pollution",Elsevier,United Kingdom,GE1-350|HT101-395,Geography. Anthropology. Recreation: Environmental sciences | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology
"City, Territory and Architecture",http://www.cityterritoryarchitecture.com,"landscape planning, regional planning, urban planning, urban ecology, landscape ecology",SpringerOpen,Germany,H|HT51-1595|HT101-395,Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology
Civil and Environmental Engineering,https://sciendo.com/journal/CEE,"civil engineering, transport structures, environmental engineering, architecture, technology",Sciendo,Poland,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Civil and Environmental Engineering Reports,https://www.sciendo.com/journal/CEER,"environmental engineering, civil  engineering",Sciendo,Poland,TA170-171,Technology: Engineering (General). Civil engineering (General): Environmental engineering
Civil and Environmental Science Journal,https://civense.ub.ac.id/index.php/civense/index,"water resources, environmental engineering, structural engineering, information technology, transportation engineering",Universitas Brawijaya,Indonesia,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Civil Engineering Infrastructures Journal,https://ceij.ut.ac.ir/,"infrastructures, buildings, bridges, dams, transportation systems, water distribution systems",University of Tehran Press,"Iran, Islamic Republic of",TA1-2040,Technology: Engineering (General). Civil engineering (General)
CivilEng,https://www.mdpi.com/journal/civileng,"environmental engineering, geotechnical engineering, earthquake engineering, survey and geo-spatial engineering, structural engineering, solid mechanics",MDPI AG,Switzerland,TA1-2040,Technology: Engineering (General). Civil engineering (General)
CJC Open,https://www.journals.elsevier.com/cjc-open,"cardiology, cardiovascular science",Elsevier,United States,RC666-701,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system
CJC Pediatric and Congenital Heart Disease,https://www.journals.elsevier.com/cjc-pediatric-and-congenital-heart-disease,"congenital heart disease, pediatric cardiology, adult congenital heart disease, congenital heart surgery",Elsevier,United States,RC666-701,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system
CLCWeb,http://docs.lib.purdue.edu/clcweb,"humanities, cultural studies, diaspora studies, media studies, communication studies",Purdue University Press,United States,P,Language and Literature
Clean Air Journal,http://www.cleanairjournal.org.za/,"air quality, air pollution, its impacts on the environment and the management, air quality management",National Association for Clean Air,South Africa,TD172-193.5|Q,Technology: Environmental technology. Sanitary engineering: Environmental pollution | Science
Clean Energy,https://academic.oup.com/ce,"clean energy, renewable energy, clean coal technology, energy efficiency",Oxford University Press,United Kingdom,TK1001-1841|TJ807-830,Technology: Electrical engineering. Electronics. Nuclear engineering: Production of electric energy or power. Powerplants. Central stations | Technology: Mechanical engineering and machinery: Renewable energy sources
Clean Technologies,https://www.mdpi.com/journal/cleantechnol,"chemical and biochemical engineering, environmentally friendly technology, cleaner production and processes, clean and renewable energies, case studies of reduced environmental impact, recycling technologies",MDPI AG,Switzerland,TD1-1066|TA170-171,Technology: Environmental technology. Sanitary engineering | Technology: Engineering (General). Civil engineering (General): Environmental engineering
Cleaner and Responsible Consumption,https://www.journals.elsevier.com/cleaner-and-responsible-consumption/,"sustainibility, quality of life, natural resources, human needs",Elsevier,United Kingdom,TD194-195|HD72-88,"Technology: Environmental technology. Sanitary engineering: Environmental effects of industries and plants | Social Sciences: Industries. Land use. Labor: Economic growth, development, planning"
Cleaner Chemical Engineering,https://www.journals.elsevier.com/cleaner-chemical-engineering,"chemical engineering, thermo-chemical processing, carbon emissions capture, fuels, materials synthesis, energy storage",Elsevier,United Kingdom,TP155-156,Technology: Chemical technology: Chemical engineering
